,CountryName,Members,Percentage,Country,Continent,Country_A3,Latitude,Longitude
0,United States,312.0,44.067796610169495,US,NA,USA,39.7837304,-100.4458825
1,Canada,90.0,12.711864406779661,CA,NA,CAN,61.0666922,-107.991707
2,United Kingdom,47.0,6.638418079096045,GB,EU,GBR,54.7023545,-3.2765753
3,Japan,35.0,4.943502824858757,JP,AS,JPN,36.5748441,139.2394179
4,Germany,30.0,4.237288135593221,DE,EU,DEU,51.0834196,10.4234469
5,France,27.0,3.8135593220338984,FR,EU,FRA,46.603354,1.8883335
6,Belgium,22.0,3.1073446327683616,BE,EU,BEL,50.6402809,4.6667145
7,India,21.0,2.9661016949152543,IN,AS,IND,22.3511148,78.6677428
8,Netherlands,21.0,2.9661016949152543,NL,EU,NLD,52.5001698,5.7480821
9,Italy,18.0,2.542372881355932,IT,EU,ITA,42.6384261,12.674297
10,Israel,14.0,1.9774011299435028,IL,AS,ISR,31.5313113,34.8667654
11,Spain,7.0,0.9887005649717514,ES,EU,ESP,39.3260685,-4.8379791
12,Brazil,7.0,0.9887005649717514,BR,SA,BRA,-10.3333333,-53.2
13,Denmark,7.0,0.9887005649717514,DK,EU,DNK,55.670249,10.3333283
14,Portugal,6.0,0.847457627118644,PT,EU,PRT,40.0332629,-7.8896263
15,Switzerland,5.0,0.7062146892655368,CH,EU,CHE,46.813331250000005,8.444947437939408
16,Argentina,5.0,0.7062146892655368,AR,SA,ARG,-34.9964963,-64.9672817
17,Australia,5.0,0.7062146892655368,AU,OC,AUS,-24.7761086,134.755
18,Egypt,4.0,0.5649717514124294,EG,AF,EGY,26.2540493,29.2675469
19,Hong Kong,3.0,0.423728813559322,HK,AS,HKG,22.2793278,114.1628131
20,South Korea,2.0,0.2824858757062147,KR,AS,KOR,36.638392,127.6961188
21,Sweden,2.0,0.2824858757062147,SE,EU,SWE,59.6749712,14.5208584
22,United Arab Emirates,2.0,0.2824858757062147,AE,AS,ARE,24.0002488,53.9994829
23,South Africa,2.0,0.2824858757062147,ZA,AF,ZAF,-28.8166236,24.991639
24,Ireland,2.0,0.2824858757062147,IE,EU,IRL,52.865196,-7.9794599
25,Tunisia,2.0,0.2824858757062147,TN,AF,TUN,33.8439408,9.400138
26,China,1.0,0.14124293785310735,CN,AS,CHN,35.000074,104.999927
27,Iran,1.0,0.14124293785310735,IR,AS,IRN,32.6475314,54.5643516
28,Taiwan,1.0,0.14124293785310735,TW,AS,TWN,23.9739374,120.9820179
29,Hungary,1.0,0.14124293785310735,HU,EU,HUN,47.1817585,19.5060937
30,Russia,1.0,0.14124293785310735,RU,EU,RUS,64.6863136,97.7453061
31,Chile,1.0,0.14124293785310735,CL,SA,CHL,-31.7613365,-71.3187697
32,Turkey,1.0,0.14124293785310735,TR,AS,TUR,38.9597594,34.9249653
33,Cuba,1.0,0.14124293785310735,CU,NA,CUB,23.0131338,-80.8328748
34,Austria,1.0,0.14124293785310735,AT,EU,AUT,47.2,13.2
35,Nigeria,1.0,0.14124293785310735,NG,AF,NGA,9.6000359,7.9999721
